WKT,STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y
"POINT (172.433849060411 -42.764411245335)",OPEN,Glenrae Hut,Buildings,Basic Hut/bivvy,172.43384906,-42.7644112453
"POINT (168.143562868188 -44.5464178096111)",OPEN,Lake Alabaster Hut,Buildings,Serviced Hut,168.143562868,-44.5464178096
"POINT (168.214392277913 -44.9261056791501)",OPEN,Steele Creek Hut,Buildings,Basic Hut/bivvy,168.214392278,-44.9261056792
"POINT (167.619158546092 -45.3852316522819)",OPEN,Luxmore Hut,Buildings,Great Walk Hut,167.619158546,-45.3852316523
"POINT (176.995922706235 -38.7676587999436)",OPEN,Marauiti Hut,Buildings,Great Walk Hut,176.995922706,-38.7676587999
"POINT (168.353471249011 -45.5406265131668)",OPEN,Cromel Base Hut,Buildings,Basic Hut/bivvy,168.353471249,-45.5406265132
"POINT (172.089003560838 -42.8969691109701)",OPEN,Ant Stream Hut,Buildings,Basic Hut/bivvy,172.089003561,-42.896969111
"POINT (174.981287350301 -41.3421163458039)",OPEN,Jans Hut,Buildings,Serviced Hut,174.98128735,-41.3421163458
"POINT (175.256211897011 -40.9078471115319)",OPEN,Field Hut,Buildings,Standard Hut,175.256211897,-40.9078471115
"POINT (172.437690882382 -41.3529268701557)",OPEN,Thor Hut,Buildings,Basic Hut/bivvy,172.437690882,-41.3529268702
"POINT (172.479267654164 -41.4668428026724)",OPEN,Cecil Kings Hut,Buildings,Basic Hut/bivvy,172.479267654,-41.4668428027
"POINT (177.051863447838 -38.8123939527921)",OPEN,Panekire Hut,Buildings,Great Walk Hut,177.051863448,-38.8123939528
"POINT (166.973330078105 -45.1936638066497)",OPEN,Deas Cove Hut,Buildings,Standard Hut,166.973330078,-45.1936638066
"POINT (175.806288320395 -37.5262451612343)",OPEN,Waitawheta Hut,Buildings,Serviced Hut,175.80628832,-37.5262451612
"POINT (170.462115870683 -43.7649921210071)",OPEN,Middle Gorge Hut,Buildings,Standard Hut,170.462115871,-43.764992121
"POINT (172.751834059445 -41.8522347836799)",OPEN,Speargrass Hut,Buildings,Serviced Hut,172.751834059,-41.8522347837
"POINT (172.511078875369 -41.2329006719129)",OPEN,Karamea Bend Hut,Buildings,Standard Hut,172.511078875,-41.2329006719
"POINT (170.064482290255 -43.7210890192679)",OPEN,Mueller Hut,Buildings,Serviced-Alpine Hut,170.06448229,-43.7210890193
"POINT (175.403127477326 -40.9325839311965)",OPEN,Totara Flats Hut,Buildings,Serviced Hut,175.403127477,-40.9325839312
"POINT (176.595493517191 -38.8941810468851)",OPEN,Upper Matakuhia Hut,Buildings,Basic Hut/bivvy,176.595493517,-38.8941810469
"POINT (173.017597660572 -40.8652602885315)",OPEN,Awaroa Hut,Buildings,Great Walk Hut,173.017597661,-40.8652602885
"POINT (175.423514428248 -40.8849861929129)",OPEN,Powell Hut,Buildings,Serviced Hut,175.423514428,-40.8849861929
"POINT (170.509632363814 -43.4806031670019)",OPEN,Godley Hut,Buildings,Standard Hut,170.509632364,-43.480603167
"POINT (177.033350355358 -38.7436287305053)",OPEN,Waiharuru Hut,Buildings,Great Walk Hut,177.033350355,-38.7436287305
"POINT (172.826087189721 -42.1463397337994)",OPEN,ISLAND GULLY HUT,Buildings,Standard Hut,172.82608719,-42.1463397338
"POINT (167.612638654838 -45.4932608820605)",OPEN,Shallow Bay Hut,Buildings,Standard Hut,167.612638655,-45.4932608821
"POINT (176.40764867481 -39.1897067848237)",OPEN,Makino Hut,Buildings,Standard Hut,176.407648675,-39.1897067848
"POINT (168.087066414675 -46.8358136237636)",OPEN,PORT WILLIAM HUT,Buildings,Great Walk Hut,168.087066415,-46.8358136238
"POINT (167.999323431512 -45.7073900407607)",OPEN,Aparima Hut,Buildings,Standard Hut,167.999323432,-45.7073900408
"POINT (176.018312113952 -39.8906838985446)",OPEN,Rangiwahia Hut,Buildings,Serviced Hut,176.018312114,-39.8906838985
"POINT (167.163205127541 -45.5802401565342)",OPEN,Upper Spey Hut,Buildings,Standard Hut,167.163205128,-45.5802401565
"POINT (167.065666701696 -45.6848690462265)",OPEN,Loch Maree Hut,Buildings,Standard Hut,167.065666702,-45.6848690462
"POINT (167.115854284303 -45.6145577415474)",OPEN,Kintail Hut,Buildings,Standard Hut,167.115854284,-45.6145577415
"POINT (168.018453075695 -46.8829504526926)",OPEN,NORTH ARM HUT,Buildings,Great Walk Hut,168.018453076,-46.8829504527
"POINT (169.325020033614 -46.5537202357054)",OPEN,Tautuku Hut,Buildings,Basic Hut/bivvy,169.325020034,-46.5537202357
"POINT (168.21471137906 -44.7251851310885)",OPEN,ROUTEBURN FLATS HUT,Buildings,Great Walk Hut,168.214711379,-44.7251851311
"POINT (167.373401135156 -45.7396956040668)",OPEN,Borland Bivvy,Buildings,Basic Hut/bivvy,167.373401135,-45.7396956041
"POINT (167.143610483797 -45.7035426381647)",OPEN,Lake Roe Hut,Buildings,Standard Hut,167.143610484,-45.7035426382
"POINT (167.14548136465 -45.830648399251)",OPEN,Hauroko Burn Hut,Buildings,Standard Hut,167.145481365,-45.8306483993
"POINT (168.508757177249 -44.5585689065503)",OPEN,Shelter Rock Hut,Buildings,Serviced Hut,168.508757177,-44.5585689066
"POINT (168.274357157306 -44.9562804577615)",OPEN,Slip Flat Hut,Buildings,Basic Hut/bivvy,168.274357157,-44.9562804578
"POINT (169.035100641971 -44.3419393186065)",OPEN,Albert Burn Hut,Buildings,Standard Hut,169.035100642,-44.3419393186
"POINT (172.330285692915 -41.6560174810173)",OPEN,Lake Matiri Hut,Buildings,Standard Hut,172.330285693,-41.656017481
"POINT (172.227887083105 -40.7755031557389)",OPEN,Kahurangi Keepers House,Buildings,Standard Hut,172.227887083,-40.7755031557
"POINT (172.525539189339 -41.0562518110775)",OPEN,COBB HUT,Buildings,Basic Hut/bivvy,172.525539189,-41.0562518111
"POINT (172.308206797099 -40.8862304812349)",OPEN,Saxon Hut,Buildings,Great Walk Hut,172.308206797,-40.8862304812
"POINT (172.730139163164 -41.1825116100309)",OPEN,Flora Hut,Buildings,Basic Hut/bivvy,172.730139163,-41.18251161
"POINT (171.089604182344 -43.1664990072381)",OPEN,West Mathias Bivvy,Buildings,Basic Hut/bivvy,171.089604182,-43.1664990072
"POINT (171.131057890841 -43.1867416659512)",OPEN,Mathias Hut,Buildings,Basic Hut/bivvy,171.131057891,-43.186741666
"POINT (174.975870249705 -41.3432002787416)",OPEN,Raukawa Lodge,Buildings,Serviced Hut,174.97587025,-41.3432002787
"POINT (175.331320835378 -41.4372408520582)",OPEN,Sutherlands Hut,Buildings,Standard Hut,175.331320835,-41.4372408521
"POINT (175.131593163489 -39.7264230016216)",OPEN,Downes Hut,Buildings,Serviced Hut,175.131593163,-39.7264230016
"POINT (174.913639622546 -39.2333312683254)",OPEN,John Coull Hut,Buildings,Great Walk Hut,174.913639623,-39.2333312683
"POINT (172.608808616204 -41.1302054750385)",OPEN,Trilobite Hut,Buildings,Standard Hut,172.608808616,-41.130205475
"POINT (172.974623435024 -40.7889837856953)",OPEN,Whariwharangi Hut,Buildings,Great Walk Hut,172.974623435,-40.7889837857
"POINT (171.154712680384 -43.1077506704929)",OPEN,Canyon Creek Bivvy,Buildings,Basic Hut/bivvy,171.15471268,-43.1077506705
"POINT (166.672103964879 -46.1232799528725)",OPEN,Te Oneroa A-frame Hut,Buildings,Basic Hut/bivvy,166.672103965,-46.1232799529
"POINT (168.531719382885 -45.0475713063972)",OPEN,Sam Summers Hut,Buildings,Basic Hut/bivvy,168.531719383,-45.0475713064
"POINT (172.237267227849 -42.6419576667327)",OPEN,Hope Kiwi Lodge,Buildings,Serviced Hut,172.237267228,-42.6419576667
"POINT (172.29808967323 -42.6156268116852)",OPEN,Hope Halfway Hut,Buildings,Basic Hut/bivvy,172.298089673,-42.6156268117
"POINT (172.648587292773 -42.2870892841583)",OPEN,Lake Guyon Hut,Buildings,Standard Hut,172.648587293,-42.2870892842
"POINT (172.463448837605 -42.4336126669269)",OPEN,Rokeby Hut,Buildings,Basic Hut/bivvy,172.463448838,-42.4336126669
"POINT (175.49094794719 -40.776641571207)",OPEN,COW CREEK HUT,Buildings,Standard Hut,175.490947947,-40.7766415712
"POINT (175.518628665576 -40.7933073458344)",OPEN,Blue Range Hut,Buildings,Standard Hut,175.518628666,-40.7933073458
"POINT (175.304465268623 -41.3882365330962)",OPEN,Tauanui Hut,Buildings,Standard Hut,175.304465269,-41.3882365331
"POINT (172.45992143221 -42.4663686529395)",OPEN,Boyle Flat Hut,Buildings,Serviced Hut,172.459921432,-42.4663686529
"POINT (174.99317587756 -39.3373127554985)",OPEN,Tieke Kainga (Whare Kai),Buildings,Great Walk Hut,174.993175878,-39.3373127555
"POINT (172.439110880737 -41.4214184023581)",OPEN,Stone Hut,Buildings,Standard Hut,172.439110881,-41.4214184024
"POINT (172.525194219666 -41.0496114110142)",OPEN,FENELLA HUT,Buildings,Serviced Hut,172.52519422,-41.049611411
"POINT (167.907761170134 -44.9065736921385)",OPEN,Clinton Hut,Buildings,Great Walk Hut,167.90776117,-44.9065736921
"POINT (177.994394572288 -37.8826634756751)",OPEN,Oronui Hut,Buildings,Standard Hut,177.994394572,-37.8826634757
"POINT (172.899977790108 -42.1355391496099)",OPEN,SEDGEMERE SLEEPOUT,Buildings,Standard Hut,172.89997779,-42.1355391496
"POINT (174.777754926095 -39.2851757712071)",OPEN,Omaru Hut,Buildings,Serviced Hut,174.777754926,-39.2851757712
"POINT (167.833584171229 -44.9426438106222)",OPEN,Worsley Hut,Buildings,Standard Hut,167.833584171,-44.9426438106
"POINT (177.26257244905 -38.4337658115213)",OPEN,Tawa Hut,Buildings,Standard Hut,177.262572449,-38.4337658115
"POINT (177.286634723769 -38.3976891087536)",OPEN,Koranga Forks Hut,Buildings,Standard Hut,177.286634724,-38.3976891088
"POINT (177.040257955301 -38.7205213377983)",OPEN,Whanganui Hut,Buildings,Great Walk Hut,177.040257955,-38.7205213378
"POINT (168.660106374851 -44.4771190211133)",OPEN,Aspiring Hut,Buildings,Serviced Hut,168.660106375,-44.4771190211
"POINT (168.262539113667 -44.980896139305)",OPEN,Greenstone Hut,Buildings,Serviced Hut,168.262539114,-44.9808961393
"POINT (168.55448841499 -44.5215801580538)",OPEN,Dart Hut,Buildings,Serviced Hut,168.554488415,-44.5215801581
"POINT (173.048605798806 -40.9161218816634)",OPEN,Bark Bay Hut,Buildings,Great Walk Hut,173.048605799,-40.9161218817
"POINT (172.715670281704 -41.1976551555765)",OPEN,Mt Arthur Hut,Buildings,Serviced Hut,172.715670282,-41.1976551556
